"Time","sensor-readings.reading"
1635577200000,83.1
1635580800000,85.1
1635584400000,85.1
1635588000000,85.1
1635591600000,83.1
1635595200000,79.1
1635598800000,75.1
1635602400000,71.1
1635606000000,69.1
1635609600000,67.1
1635613200000,67.1
1635616800000,67.1
1635620400000,67.1
1635624000000,69.1
1635627600000,69.1
1635631200000,71.1
1635634800000,73.1
1635638400000,73.1
1635642000000,75.1
1635645600000,77.1
1635649200000,77.1
1635652800000,79.1
1635656400000,79.1
1635660000000,81.1
1635663600000,83.1
1635667200000,83.1
1635670800000,83.1
1635674400000,81.1
1635678000000,77.1
1635681600000,75.1
1635685200000,71.1
1635688800000,69.1
1635692400000,67.1
1635696000000,65.1
1635699600000,65.1
1635703200000,65.1
1635706800000,65.1
1635710400000,67.1
1635714000000,67.1
1635717600000,69.1
1635721200000,71.1
1635724800000,73.1
1635728400000,73.1
1635732000000,75.1
1635735600000,75.1
1635739200000,77.1
1635742800000,78.1
1635746400000,80.1
1635750000000,80.1
1635753600000,82.1
1635757200000,82.1
1635760800000,80.1
1635764400000,76.1
1635768000000,72.1
1635771600000,68.1
1635775200000,64.1
1635778800000,62.1
1635782400000,62.1
1635786000000,62.1
1635789600000,62.1
1635793200000,66.1
1635796800000,68.1
1635800400000,72.1
1635804000000,74.1
1635807600000,76.1
1635811200000,78.1
1635814800000,80.1
1635818400000,82.1
1635822000000,84.1
1635825600000,84.1
1635829200000,84.1
1635832800000,84.1
1635836400000,84.1
1635840000000,84.1
1635843600000,84.1
1635847200000,84.1
1635850800000,86.1
1635854400000,86.1
1635858000000,82.1
1635861600000,78.1
1635865200000,74.1
1635868800000,72.1
1635872400000,72.1
1635876000000,72.1
1635879600000,72.1
1635883200000,74.1
1635886800000,76.1
1635890400000,78.1
1635894000000,80.1
1635897600000,80.1
1635901200000,80.1
1635904800000,82.1
1635908400000,82.1
1635912000000,84.1
1635915600000,86.1
1635919200000,86.1
1635922800000,88.1
1635926400000,88.1
1635930000000,88.1
1635933600000,88.1
1635937200000,86.1
1635940800000,84.1
1635944400000,82.1
1635948000000,82.1
1635951600000,82.1
1635955200000,82.1
