"Time","sensor-readings.reading"
1636794000000,20.6
1636797600000,16.5
1636801200000,21.5
1636804800000,18.5
1636808400000,18.5
1636812000000,18.4
1636815600000,18.4
1636819200000,16.4
1636822800000,16.4
1636826400000,16.4
1636830000000,15.5
1636833600000,15.5
1636837200000,16.5
1636840800000,15.7
1636844400000,15.7
1636848000000,15.7
1636851600000,15.7
1636855200000,16.8
1636858800000,15.8
1636862400000,15.8
1636866000000,18.8
1636869600000,16.8
1636873200000,19.8
1636876800000,20.8
1636880400000,20.8
1636884000000,20.8
1636887600000,19.8
1636891200000,20.8
1636894800000,21.8
1636898400000,20.8
1636902000000,20.8
1636905600000,21.8
1636909200000,18.8
1636912800000,19.8
1636916400000,21.7
1636920000000,22.7
1636923600000,18.7
1636927200000,21.8
1636930800000,21.9
1636934400000,18.8
1636938000000,18.8
1636941600000,20.8
1636945200000,18.8
1636948800000,20.8
1636952400000,20.8
1636956000000,21.8
1636959600000,20.8
1636963200000,21.8
1636966800000,22.8
1636970400000,25.8
1636974000000,24.6
1636977600000,26.7
1636981200000,24.7
1636984800000,25.6
1636988400000,25.6
1636992000000,26.6
1636995600000,25.4
1636999200000,22.2
1637002800000,22.3
1637006400000,22.3
1637010000000,21.3
1637013600000,21.3
1637017200000,20.3
1637020800000,20.3
1637024400000,19.3
1637028000000,19.3
1637031600000,22.3
1637035200000,21.3
1637038800000,21.3
1637042400000,22.3
1637046000000,21.3
1637049600000,21.3
1637053200000,22.3
1637056800000,22.3
1637060400000,25.6
1637064000000,25.7
1637067600000,24.7
1637071200000,21.7
1637074800000,21.7
1637078400000,19.7
1637082000000,19.7
1637085600000,21.8
1637089200000,20.8
1637092800000,18.8
1637096400000,18.8
1637100000000,19.8
1637103600000,18.8
1637107200000,18.9
1637110800000,17.9
1637114400000,17.9
1637118000000,17.9
1637121600000,17.9
1637125200000,17.9
1637128800000,17.9
1637132400000,17.9
1637136000000,20.9
1637139600000,20.9
1637143200000,21.9
1637146800000,21.9
1637150400000,23.9
1637154000000,24.8
1637157600000,19.8
1637161200000,19.8
1637164800000,18.8
1637168400000,18.8
1637172000000,21
1637175600000,23
1637179200000,21
1637182800000,22
1637186400000,20
1637190000000,18
1637193600000,18
1637197200000,20
1637200800000,21
1637204400000,18.9
1637208000000,19.9
1637211600000,20.9
1637215200000,20
1637218800000,21.9
1637222400000,23
1637226000000,30.4
1637229600000,31.4
1637233200000,32.5
1637236800000,30.6
1637240400000,29.7
1637244000000,28.7
1637247600000,23.6
1637251200000,20.6
