"Time","sensor-readings.difference"
1675199700000,0
1675200600000,0
1675201500000,0
1675202400000,0
1675203300000,0
1675204200000,0
1675205100000,0
1675206000000,0
1675206900000,0
1675207800000,0
1675208700000,0
1675209600000,0
1675210500000,0
1675211400000,0
1675212300000,0
1675213200000,0
1675214100000,0
1675215000000,0
1675215900000,0
1675216800000,0
1675217700000,13.400390625
1675218600000,0
1675219500000,0
1675220400000,0
1675221300000,0
1675222200000,0
1675223100000,0
1675224000000,0
1675224900000,0
1675225800000,0
1675226700000,0
1675227600000,0
1675228500000,0
1675229400000,0
1675230300000,0
1675231200000,0
1675232100000,0
1675233000000,0
1675233900000,0
1675234800000,0
1675235700000,0
1675236600000,0
1675237500000,0
1675238400000,0
1675239300000,0
1675240200000,0
1675241100000,0
1675242000000,0
1675242900000,0
1675243800000,0
1675244700000,0
1675245600000,16.5
1675246500000,0.400390625
1675247400000,0
1675248300000,0
1675249200000,0
1675250100000,0
1675251000000,0
1675251900000,0
1675252800000,0
1675253700000,0
1675254600000,0
1675255500000,0
1675256400000,0
1675257300000,0
1675258200000,0
1675259100000,0
1675260000000,0
1675260900000,0
1675261800000,0
1675262700000,0
1675263600000,0
1675264500000,0
1675265400000,0
1675266300000,0
1675267200000,0
1675268100000,0
1675269000000,0
1675269900000,0
1675270800000,0
1675271700000,0
1675272600000,0
1675273500000,0
1675274400000,0
1675275300000,0
1675276200000,0
1675277100000,0
1675278000000,0
1675278900000,0
1675279800000,0
1675280700000,0
1675281600000,0
1675282500000,0
1675283400000,0
1675284300000,0
1675285200000,0
1675286100000,0
1675287000000,0
1675287900000,0
1675288800000,0
1675289700000,0
1675290600000,0
1675291500000,0
1675292400000,0
1675293300000,0
1675294200000,0
1675295100000,0
1675296000000,0
1675296900000,0
1675297800000,17.5
1675298700000,0
1675299600000,0
1675300500000,0
1675301400000,0
1675302300000,0
1675303200000,0
1675304100000,0
1675305000000,0
1675305900000,0
1675306800000,0
1675307700000,3.19921875
1675308600000,0
1675309500000,0
1675310400000,0
1675311300000,0
1675312200000,0
1675313100000,0
1675314000000,0
1675314900000,0
