"Time","reading"
1650513600000,76
1650517200000,86
1650520800000,111
1650524400000,137
1650528000000,206
1650531600000,214
1650535200000,299
1650538800000,351
1650542400000,318
1650546000000,307
1650549600000,293
1650553200000,211
1650556800000,196
1650560400000,200
1650564000000,186
1650567600000,184
1650571200000,184
1650574800000,176
1650578400000,177
1650582000000,181
1650585600000,170
1650589200000,182
1650592800000,175
1650596400000,175
1650600000000,178
1650603600000,110
1650607200000,155
1650610800000,255
1650614400000,297
1650618000000,279
1650621600000,297
1650625200000,281
1650628800000,130
1650632400000,110
1650636000000,86
1650639600000,77
1650643200000,76
1650646800000,81
1650650400000,74
1650654000000,73
1650657600000,71
1650661200000,74
1650664800000,69
1650668400000,76
1650672000000,71
1650675600000,73
1650679200000,71
1650682800000,74
1650686400000,71
1650690000000,74
1650693600000,74
1650697200000,70
1650700800000,74
1650704400000,72
1650708000000,70
1650711600000,73
1650715200000,73
1650718800000,75
1650722400000,74
1650726000000,73
1650729600000,74
1650733200000,76
1650736800000,75
1650740400000,74
1650744000000,70
1650747600000,71
1650751200000,74
1650754800000,70
1650758400000,73
1650762000000,72
1650765600000,71
1650769200000,74
1650772800000,74
1650776400000,70
1650780000000,73
1650783600000,73
1650787200000,105
1650790800000,108
1650794400000,111
1650798000000,111
1650801600000,110
1650805200000,112
1650808800000,109
1650812400000,111
1650816000000,112
1650819600000,109
1650823200000,107
1650826800000,111
1650830400000,109
1650834000000,109
1650837600000,103
1650841200000,109
1650844800000,105
1650848400000,104
1650852000000,106
1650855600000,103
1650859200000,109
1650862800000,83
1650866400000,99
1650870000000,107
1650873600000,115
1650877200000,150
1650880800000,171
1650884400000,267
1650888000000,302
1650891600000,269
1650895200000,282
1650898800000,241
1650902400000,213
1650906000000,145
1650909600000,74
1650913200000,75
1650916800000,70
1650920400000,69
1650924000000,69
1650927600000,68
1650931200000,67
1650934800000,68
1650938400000,65
1650942000000,66
1650945600000,69
1650949200000,86
1650952800000,120
1650956400000,209
1650960000000,187
1650963600000,188
1650967200000,181
1650970800000,172
1650974400000,136
1650978000000,187
1650981600000,212
1650985200000,234
1650988800000,200
1650992400000,201
1650996000000,192
1650999600000,195
1651003200000,192
1651006800000,168
1651010400000,169
1651014000000,170
1651017600000,162
1651021200000,173
1651024800000,138
1651028400000,94
1651032000000,100
1651035600000,112
1651039200000,207
1651042800000,216
1651046400000,214
1651050000000,212
1651053600000,212
1651057200000,210
1651060800000,201
1651064400000,214
1651068000000,168
1651071600000,163
1651075200000,103
1651078800000,79
1651082400000,72
1651086000000,73
1651089600000,69
1651093200000,52
1651096800000,54
1651100400000,56
1651104000000,56
1651107600000,50
1651111200000,55
1651114800000,56
1651118400000,55
1651122000000,81
1651125600000,82
1651129200000,138
1651132800000,150
1651136400000,183
1651140000000,187
1651143600000,156
1651147200000,173
1651150800000,225
1651154400000,238
1651158000000,142
1651161600000,130
1651165200000,82
1651168800000,77
1651172400000,77
1651176000000,75
1651179600000,73
1651183200000,70
1651186800000,70
1651190400000,70
1651194000000,68
1651197600000,55
1651201200000,56
1651204800000,57
1651208400000,62
1651212000000,98
1651215600000,130
1651219200000,160
1651222800000,210
1651226400000,230
1651230000000,240
1651233600000,216
1651237200000,214
1651240800000,115
1651244400000,68
1651248000000,69
1651251600000,62
1651255200000,56
1651258800000,57
1651262400000,57
1651266000000,52
1651269600000,52
1651273200000,53
1651276800000,52
1651280400000,51
1651284000000,48
1651287600000,52
1651291200000,52
1651294800000,52
1651298400000,48
1651302000000,56
1651305600000,53
1651309200000,54
1651312800000,55
1651316400000,56
1651320000000,62
1651323600000,60
1651327200000,60
1651330800000,59
1651334400000,61
1651338000000,57
1651341600000,55
1651345200000,57
1651348800000,54
1651352400000,57
1651356000000,48
1651359600000,53
1651363200000,53
1651366800000,52
1651370400000,52
1651374000000,52
1651377600000,52
1651381200000,53
1651384800000,48
1651388400000,53
1651392000000,55
1651395600000,51
1651399200000,56
1651402800000,57
1651406400000,56
1651410000000,55
1651413600000,58
1651417200000,63
1651420800000,53
1651424400000,55
1651428000000,53
1651431600000,55
1651435200000,56
1651438800000,53
1651442400000,56
1651446000000,54
1651449600000,52
1651453200000,49
1651456800000,53
1651460400000,53
1651464000000,55
1651467600000,96
1651471200000,117
1651474800000,161
1651478400000,271
1651482000000,305
1651485600000,291
1651489200000,342
1651492800000,417
1651496400000,370
1651500000000,343
1651503600000,316
1651507200000,190
1651510800000,184
1651514400000,174
1651518000000,178
1651521600000,175
1651525200000,176
1651528800000,174
