time,energy,glob_irrad_in_diffuse,glob_irrad_total_disc,dew_point,enth,rel_hum,temp,lab_P051_binary,lab_P015_binary,lab_P011_binary,WorkDay,day_of_week,month,year,hour,day,day_of_year,day_of_week_sin,day_of_week_cos,hour_sin,hour_cos,month_sin,month_cos
2022-04-21 19:00:00,2147.0,19.934224564611633,19.071433894009218,1.5,24.0,46.59466666666666,12.95,0.0,0.0,0.0,0,3,4,2022,19,21,111,0.43388373911755823,-0.900968867902419,-0.9659258262890684,0.2588190451025203,0.8660254037844387,-0.4999999999999998
2022-04-21 20:00:00,1653.0,18.07354933124347,16.945306578341015,1.1,23.0,46.91466666666667,12.3,0.0,0.0,0.0,0,3,4,2022,20,21,111,0.43388373911755823,-0.900968867902419,-0.8660254037844386,0.5000000000000001,0.8660254037844387,-0.4999999999999998
2022-04-21 21:00:00,1939.0,16.212874097875307,14.819179262672812,0.65,22.0,47.23466666666666,11.8,0.0,0.0,0.0,0,3,4,2022,21,21,111,0.43388373911755823,-0.900968867902419,-0.7071067811865477,0.7071067811865474,0.8660254037844387,-0.4999999999999998
2022-04-21 22:00:00,1759.0,14.352198864507141,12.693051947004609,0.47000000000000003,21.0,47.55466666666666,11.5,0.0,0.0,0.0,0,3,4,2022,22,21,111,0.43388373911755823,-0.900968867902419,-0.5000000000000004,0.8660254037844384,0.8660254037844387,-0.4999999999999998
2022-04-21 23:00:00,1906.0,12.491523631138977,10.566924631336406,0.29000000000000004,20.666666666666668,47.87466666666667,11.1,0.0,0.0,0.0,0,3,4,2022,23,21,111,0.43388373911755823,-0.900968867902419,-0.25881904510252157,0.9659258262890681,0.8660254037844387,-0.4999999999999998
2022-04-22 00:00:00,1701.0,10.630848397770812,8.440797315668203,0.10999999999999999,20.333333333333332,48.19466666666666,10.65,0.0,0.0,0.0,0,4,4,2022,0,22,112,-0.433883739117558,-0.9009688679024191,0.0,1.0,0.8660254037844387,-0.4999999999999998
2022-04-22 01:00:00,1848.0,8.770173164402648,6.31467,-0.06999999999999995,20.0,48.8720688172043,10.65,0.0,0.0,0.0,0,4,4,2022,1,22,112,-0.433883739117558,-0.9009688679024191,0.25881904510252074,0.9659258262890683,0.8660254037844387,-0.4999999999999998
2022-04-22 02:00:00,1673.0,6.909497931034482,6.237894,-0.25,18.5,50.20316255534472,9.625,0.0,0.0,0.0,0,4,4,2022,2,22,112,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,0.8660254037844387,-0.4999999999999998
2022-04-22 03:00:00,1867.0,6.866938965517241,6.408009350253807,-0.1,18.75,52.32881500426257,8.7,0.0,0.0,0.0,0,4,4,2022,3,22,112,-0.433883739117558,-0.9009688679024191,0.7071067811865476,0.7071067811865476,0.8660254037844387,-0.4999999999999998
2022-04-22 04:00:00,1905.0,6.82438,6.5781247005076136,0.5,19.0,55.011859314245314,8.899999999999999,0.0,0.0,0.0,0,4,4,2022,4,22,112,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,0.8660254037844387,-0.4999999999999998
2022-04-22 05:00:00,1718.0,7.322406754385965,6.748240050761421,0.9500000000000001,18.5,58.02403156384505,8.55,0.0,0.0,0.0,0,4,4,2022,5,22,112,-0.433883739117558,-0.9009688679024191,0.9659258262890683,0.25881904510252074,0.8660254037844387,-0.4999999999999998
2022-04-22 06:00:00,1931.0,7.564925102040816,6.856742435897436,2.066666666666667,20.0,61.21797385620915,9.1,0.0,0.0,0.0,0,4,4,2022,6,22,112,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17,0.8660254037844387,-0.4999999999999998
2022-04-22 07:00:00,2328.0,27.115369823529413,28.162116282051283,2.1,20.5,63.98501291989665,8.55,0.0,0.0,0.0,0,4,4,2022,7,22,112,-0.433883739117558,-0.9009688679024191,0.9659258262890683,-0.25881904510252063,0.8660254037844387,-0.4999999999999998
2022-04-22 08:00:00,2367.0,47.041154270462634,41.66963448,2.8000000000000003,21.0,66.76181247692877,8.899999999999999,1.0,0.0,0.0,0,4,4,2022,8,22,112,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,0.8660254037844387,-0.4999999999999998
2022-04-22 09:00:00,2646.0,115.88173196601942,126.12696926923077,3.9333333333333336,22.5,69.5248015873016,9.55,1.0,0.0,0.0,0,4,4,2022,9,22,112,-0.433883739117558,-0.9009688679024191,0.7071067811865476,-0.7071067811865475,0.8660254037844387,-0.4999999999999998
2022-04-22 10:00:00,2745.0,109.58526430412371,113.84922241666666,5.15,23.0,71.83465320910973,9.58,1.0,0.0,0.0,0,4,4,2022,10,22,112,-0.433883739117558,-0.9009688679024191,0.49999999999999994,-0.8660254037844387,0.8660254037844387,-0.4999999999999998
2022-04-22 11:00:00,2533.0,60.166681789772724,61.71262884848485,5.15,23.5,73.6896509491733,9.4,1.0,0.0,0.0,0,4,4,2022,11,22,112,-0.433883739117558,-0.9009688679024191,0.258819045102521,-0.9659258262890682,0.8660254037844387,-0.4999999999999998
2022-04-22 12:00:00,3053.0,54.897668176291795,57.53705973404256,5.9,24.5,75.4,9.899999999999999,1.0,1.0,0.0,0,4,4,2022,12,22,112,-0.433883739117558,-0.9009688679024191,1.2246467991473532e-16,-1.0,0.8660254037844387,-0.4999999999999998
2022-04-22 13:00:00,2059.0,40.734936797153026,42.563966529411765,6.475,26.0,76.91955349115973,10.3,0.0,0.0,0.0,0,4,4,2022,13,22,112,-0.433883739117558,-0.9009688679024191,-0.2588190451025208,-0.9659258262890683,0.8660254037844387,-0.4999999999999998
2022-04-22 14:00:00,2233.0,25.633830432432433,27.15315082191781,7.2700000000000005,27.0,78.17603583426651,10.981818181818182,0.0,0.0,0.0,0,4,4,2022,14,22,112,-0.433883739117558,-0.9009688679024191,-0.4999999999999997,-0.8660254037844388,0.8660254037844387,-0.4999999999999998
2022-04-22 15:00:00,1993.0,26.56315916666667,26.553951266666665,6.58,25.939999999999998,79.1593984962406,10.14,0.0,0.0,0.0,0,4,4,2022,15,22,112,-0.433883739117558,-0.9009688679024191,-0.7071067811865471,-0.7071067811865479,0.8660254037844387,-0.4999999999999998
