time,energy,dew_point,enth,rel_hum,temp,lab_P051_binary,lab_P015_binary,lab_P011_binary,lab_251102_binary,WorkDay,day_of_week,month,year,hour,day,day_of_year,day_of_week_sin,day_of_week_cos,hour_sin,hour_cos,month_sin,month_cos
2022-11-08 17:00:00,2774.0,6.02767205897075,29.517971825986635,28.33647873058744,13.039443116804229,1.0,0.0,0.0,1.0,1,1,11,2022,17,8,312,0.7818314824680298,0.6234898018587336,-0.9659258262890683,-0.25881904510252063,-0.5000000000000004,0.8660254037844384
2022-11-08 18:00:00,2097.0,6.02767205897075,29.517971825986635,27.0420830519919,13.039443116804229,1.0,0.0,0.0,1.0,1,1,11,2022,18,8,312,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210297e-16,-0.5000000000000004,0.8660254037844384
2022-11-08 19:00:00,3831.0,6.02767205897075,29.517971825986635,25.747687373396353,13.039443116804229,1.0,0.0,0.0,1.0,1,1,11,2022,19,8,312,0.7818314824680298,0.6234898018587336,-0.9659258262890684,0.2588190451025203,-0.5000000000000004,0.8660254037844384
2022-11-08 20:00:00,4219.0,6.02767205897075,29.517971825986635,24.453291694800814,13.039443116804229,1.0,0.0,0.0,1.0,1,1,11,2022,20,8,312,0.7818314824680298,0.6234898018587336,-0.8660254037844386,0.5000000000000001,-0.5000000000000004,0.8660254037844384
2022-11-08 21:00:00,1700.0,6.02767205897075,29.517971825986635,23.158896016205272,13.039443116804229,1.0,0.0,0.0,0.0,1,1,11,2022,21,8,312,0.7818314824680298,0.6234898018587336,-0.7071067811865477,0.7071067811865474,-0.5000000000000004,0.8660254037844384
2022-11-08 22:00:00,2654.0,6.02767205897075,29.517971825986635,21.864500337609726,13.039443116804229,1.0,0.0,0.0,1.0,1,1,11,2022,22,8,312,0.7818314824680298,0.6234898018587336,-0.5000000000000004,0.8660254037844384,-0.5000000000000004,0.8660254037844384
2022-11-08 23:00:00,3752.0,6.02767205897075,29.517971825986635,20.570104659014184,13.039443116804229,1.0,0.0,0.0,1.0,1,1,11,2022,23,8,312,0.7818314824680298,0.6234898018587336,-0.25881904510252157,0.9659258262890681,-0.5000000000000004,0.8660254037844384
2022-11-09 00:00:00,1806.0,6.02767205897075,29.517971825986635,19.27570898041864,13.039443116804229,1.0,0.0,0.0,0.0,1,2,11,2022,0,9,313,0.9749279121818236,-0.22252093395631434,0.0,1.0,-0.5000000000000004,0.8660254037844384
2022-11-09 01:00:00,1605.0,6.02767205897075,29.517971825986635,17.981313301823096,13.039443116804229,1.0,0.0,0.0,0.0,1,2,11,2022,1,9,313,0.9749279121818236,-0.22252093395631434,0.25881904510252074,0.9659258262890683,-0.5000000000000004,0.8660254037844384
2022-11-09 02:00:00,1448.0,6.02767205897075,29.517971825986635,16.68691762322755,13.039443116804229,1.0,0.0,0.0,0.0,1,2,11,2022,2,9,313,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,-0.5000000000000004,0.8660254037844384
2022-11-09 03:00:00,1529.0,6.02767205897075,29.517971825986635,15.39252194463201,13.039443116804229,1.0,0.0,0.0,0.0,1,2,11,2022,3,9,313,0.9749279121818236,-0.22252093395631434,0.7071067811865476,0.7071067811865476,-0.5000000000000004,0.8660254037844384
2022-11-09 04:00:00,1613.0,6.02767205897075,29.517971825986635,14.098126266036466,13.039443116804229,1.0,0.0,0.0,0.0,1,2,11,2022,4,9,313,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,-0.5000000000000004,0.8660254037844384
2022-11-09 15:00:00,2308.0,5.05,18.466666666666665,38.68601477980344,9.15,1.0,0.0,0.0,0.0,1,2,11,2022,15,9,313,0.9749279121818236,-0.22252093395631434,-0.7071067811865471,-0.7071067811865479,-0.5000000000000004,0.8660254037844384
2022-11-09 16:00:00,2806.0,6.02767205897075,29.517971825986635,71.06355555555555,13.039443116804229,1.0,0.0,0.0,0.0,1,2,11,2022,16,9,313,0.9749279121818236,-0.22252093395631434,-0.8660254037844385,-0.5000000000000004,-0.5000000000000004,0.8660254037844384
2022-11-09 17:00:00,3440.0,6.02767205897075,29.517971825986635,72.2368888888889,13.039443116804229,1.0,0.0,0.0,1.0,1,2,11,2022,17,9,313,0.9749279121818236,-0.22252093395631434,-0.9659258262890683,-0.25881904510252063,-0.5000000000000004,0.8660254037844384
2022-11-09 18:00:00,3963.0,6.02767205897075,29.517971825986635,73.41022222222223,13.039443116804229,1.0,0.0,0.0,1.0,1,2,11,2022,18,9,313,0.9749279121818236,-0.22252093395631434,-1.0,-1.8369701987210297e-16,-0.5000000000000004,0.8660254037844384
2022-11-09 19:00:00,4372.0,6.02767205897075,29.517971825986635,74.58355555555555,13.039443116804229,1.0,0.0,0.0,1.0,1,2,11,2022,19,9,313,0.9749279121818236,-0.22252093395631434,-0.9659258262890684,0.2588190451025203,-0.5000000000000004,0.8660254037844384
2022-11-09 20:00:00,4677.0,6.02767205897075,29.517971825986635,75.7568888888889,13.039443116804229,1.0,0.0,0.0,1.0,1,2,11,2022,20,9,313,0.9749279121818236,-0.22252093395631434,-0.8660254037844386,0.5000000000000001,-0.5000000000000004,0.8660254037844384
